Feature	Gain	Cover	Frequency
ctrx_quarter	0.060402878208618	0.0355552725675071	0.0116530143606265
ctrx_quarter_lag1	0.0546803008975382	0.0157687647110941	0.0104877129245639
mcaja_ahorro_rank	0.0469813284174104	0.0181711455787652	0.0113445522157864
mcuentas_saldo_rank	0.0255991018847724	0.0355026691491866	0.0152517393837612
mtarjeta_visa_consumo_rank	0.0237248396941349	0.0329713852680271	0.00921959077355451
cpayroll_trx	0.0227537878107125	0.0460565687305176	0.00356445145148576
mpayroll_rank	0.0168638067904143	0.0521529938514858	0.00555231860712205
ctarjeta_visa_transacciones	0.0166835019973824	0.0121516483373525	0.00654625218494019
foto_mes	0.0157496057156711	0.0150677102084337	0.0120300236487644
numero_de_cliente	0.0151249616238381	0.00639427811799309	0.0231346608630085
mprestamos_personales_rank	0.0150284374480691	0.0301087491286558	0.00846557219727868
Master_fechaalta	0.0144406414424243	0.0082506459749047	0.0164855879631216
ctrx_quarter_delta2	0.0140114385812907	0.00379529043443673	0.0134009665147205
Visa_mpagominimo_rank	0.013615419116052	0.0237236642895671	0.0129896836549337
mrentabilidad_annual_rank_delta2	0.0136113251216796	0.00787859690347946	0.0169654179662063
mrentabilidad_rank	0.0130344881244542	0.00401739204521992	0.0108989957843507
Visa_fechaalta	0.0129098833652784	0.00457238890675462	0.0155944751002502
cliente_edad	0.0127877232258578	0.00818232620742215	0.0185420022620557
cliente_edad_lag1	0.011030919930583	0.00698069227872489	0.012886862939987
cliente_antiguedad	0.0108417355973934	0.0043165416487503	0.0136408815162628
mrentabilidad_annual_rank_lag2	0.0105167418226129	0.0110176535347181	0.0118929293621688
mrentabilidad_annual_rank	0.0104053574859483	0.00544056089682151	0.0121328443637111
mcuenta_corriente_rank	0.0101985846607818	0.0118250944471585	0.013572334372965
mrentabilidad_rank_lag1	0.010168386079574	0.00480287380235445	0.00949377934674573
mcomisiones_rank_lag1	0.00983139767790541	0.00905381208965022	0.0126126743667958
mrentabilidad_annual_rank_lag1	0.00920913303443751	0.00590922409194181	0.0122013915070089
mcomisiones_rank_delta2	0.00919974282109749	0.00348487482948855	0.00925386434520341
mcuentas_saldo_rank_lag1	0.00872372404351694	0.00465491282911384	0.00867121362717209
mcomisiones_rank_lag2	0.00863569689711121	0.00571550615230855	0.00822565719573637
ctrx_quarter_delta1	0.00863417003610084	0.00461386491580152	0.0102820714946705
